Id,Label
SHELLY,SHELLY
COLT,COLT
BULL,BULL
BROCK,BROCK
RICO,RICO
SPIKE,SPIKE
BARLEY,BARLEY
JESSIE,JESSIE
NITA,NITA
DYNAMIKE,DYNAMIKE
EL PRIMO,EL PRIMO
MORTIS,MORTIS
CROW,CROW
POCO,POCO
BO,BO
PIPER,PIPER
PAM,PAM
TARA,TARA
DARRYL,DARRYL
PENNY,PENNY
FRANK,FRANK
GENE,GENE
TICK,TICK
LEON,LEON
ROSA,ROSA
CARL,CARL
BIBI,BIBI
8-BIT,8-BIT
SANDY,SANDY
BEA,BEA
EMZ,EMZ
MR. P,MR. P
MAX,MAX
JACKY,JACKY
GALE,GALE
NANI,NANI
SPROUT,SPROUT
SURGE,SURGE
COLETTE,COLETTE
AMBER,AMBER
LOU,LOU
BYRON,BYRON
EDGAR,EDGAR
RUFFS,RUFFS
STU,STU
BELLE,BELLE
SQUEAK,SQUEAK
GROM,GROM
BUZZ,BUZZ
GRIFF,GRIFF
ASH,ASH
MEG,MEG
LOLA,LOLA
FANG,FANG
EVE,EVE
JANET,JANET
BONNIE,BONNIE
OTIS,OTIS
SAM,SAM
GUS,GUS
BUSTER,BUSTER
CHESTER,CHESTER
GRAY,GRAY
MANDY,MANDY
R-T,R-T
WILLOW,WILLOW
MAISIE,MAISIE
HANK,HANK
CORDELIUS,CORDELIUS
DOUG,DOUG
PEARL,PEARL
CHUCK,CHUCK
CHARLIE,CHARLIE
MICO,MICO
KIT,KIT
LARRY & LAWRIE,LARRY & LAWRIE
MELODIE,MELODIE
ANGELO,ANGELO
DRACO,DRACO
LILY,LILY
BERRY,BERRY
CLANCY,CLANCY
MOE,MOE
KENJI,KENJI
SHADE,SHADE
JUJU,JUJU
MEEPLE,MEEPLE
OLLIE,OLLIE
LUMI,LUMI
FINX,FINX
JAE-YONG,JAE-YONG
KAZE,KAZE
ALLI,ALLI
TRUNK,TRUNK