Source,Target,Type,Weight,probability
8-BIT,BEA,Undirected,1.5217491304347828,0.6571428571428571
8-BIT,BYRON,Undirected,1.388898888888889,0.72
8-BIT,MAX,Undirected,1.3846253846153846,0.7222222222222222
8-BIT,ROSA,Undirected,1.3846253846153846,0.7222222222222222
8-BIT,RUFFS,Undirected,1.00001,1.0
8-BIT,SANDY,Undirected,1.3157994736842107,0.76
8-BIT,SQUEAK,Undirected,1.4444544444444445,0.6923076923076923
AMBER,BELLE,Undirected,1.2727372727272728,0.7857142857142857
AMBER,BO,Undirected,1.5833433333333335,0.631578947368421
AMBER,PEARL,Undirected,1.00001,1.0
AMBER,RICO,Undirected,1.5151615151515152,0.66
AMBER,SANDY,Undirected,1.4347926086956522,0.696969696969697
ANGELO,MORTIS,Undirected,1.40001,0.7142857142857143
ANGELO,SHADE,Undirected,1.3846253846153846,0.7222222222222222
ASH,BARLEY,Undirected,1.25001,0.8
ASH,BYRON,Undirected,1.12501,0.8888888888888888
ASH,SHELLY,Undirected,1.230779230769231,0.8125
BARLEY,BARLEY,Undirected,1.1764805882352942,0.85
BARLEY,BEA,Undirected,1.4827686206896553,0.6744186046511628
BARLEY,BO,Undirected,1.5789573684210527,0.6333333333333333
BARLEY,BROCK,Undirected,1.50001,0.6666666666666666
BARLEY,BYRON,Undirected,1.1666766666666668,0.8571428571428571
BARLEY,DYNAMIKE,Undirected,1.565227391304348,0.6388888888888888
BARLEY,EDGAR,Undirected,1.7162262162162163,0.5826771653543307
BARLEY,EL PRIMO,Undirected,1.5094439622641511,0.6625
BARLEY,EMZ,Undirected,1.6545554545454546,0.6043956043956044
BARLEY,GENE,Undirected,1.25001,0.8
BARLEY,GRAY,Undirected,1.20001,0.8333333333333334
BARLEY,GROM,Undirected,1.4333433333333334,0.6976744186046512
BARLEY,HANK,Undirected,1.3333433333333333,0.75
BARLEY,JACKY,Undirected,1.4571528571428571,0.6862745098039216
BARLEY,JESSIE,Undirected,1.3392957142857143,0.7466666666666667
BARLEY,NITA,Undirected,1.6545554545454546,0.6043956043956044
BARLEY,PAM,Undirected,1.0869665217391304,0.92
BARLEY,POCO,Undirected,1.5348937209302327,0.6515151515151515
BARLEY,SHELLY,Undirected,1.3333433333333333,0.75
BARLEY,STU,Undirected,1.3871067741935486,0.7209302325581395
BARLEY,WILLOW,Undirected,1.00001,1.0
BEA,EDGAR,Undirected,1.6902754867256637,0.5916230366492147
BEA,EL PRIMO,Undirected,1.3793203448275864,0.725
BEA,GALE,Undirected,1.3846253846153846,0.7222222222222222
BEA,MAISIE,Undirected,1.3157994736842107,0.76
BEA,MAX,Undirected,1.423086923076923,0.7027027027027027
BEA,MORTIS,Undirected,1.5376444086021508,0.6503496503496503
BEA,NANI,Undirected,1.5517341379310345,0.6444444444444445
BEA,PAM,Undirected,1.181828181818182,0.8461538461538461
BEA,PIPER,Undirected,1.7333433333333335,0.5769230769230769
BEA,POCO,Undirected,1.4583433333333333,0.6857142857142857
BEA,SAM,Undirected,1.00001,1.0
BEA,SHELLY,Undirected,1.4814914814814815,0.675
BEA,SPROUT,Undirected,1.3571528571428573,0.7368421052631579
BEA,STU,Undirected,1.4857242857142856,0.6730769230769231
BELLE,BUSTER,Undirected,1.1428671428571429,0.875
BELLE,GALE,Undirected,1.3846253846153846,0.7222222222222222
BELLE,NITA,Undirected,1.2631678947368423,0.7916666666666666
BERRY,DYNAMIKE,Undirected,1.5714385714285715,0.6363636363636364
BERRY,FRANK,Undirected,1.4571528571428571,0.6862745098039216
BERRY,NITA,Undirected,1.3333433333333333,0.75
BERRY,SQUEAK,Undirected,1.388898888888889,0.72
BERRY,TICK,Undirected,1.5357242857142857,0.6511627906976745
BIBI,MR. P,Undirected,1.2142957142857145,0.8235294117647058
BIBI,PAM,Undirected,1.25001,0.8
BIBI,SPIKE,Undirected,1.423086923076923,0.7027027027027027
BIBI,STU,Undirected,1.4583433333333333,0.6857142857142857
BO,EL PRIMO,Undirected,1.6721411475409838,0.5980392156862745
BO,JACKY,Undirected,1.50001,0.6666666666666666
BO,PIPER,Undirected,1.6666766666666668,0.6
BO,SHELLY,Undirected,1.6511727906976745,0.6056338028169014
BONNIE,BULL,Undirected,1.3333433333333333,0.75
BONNIE,SHELLY,Undirected,1.1052731578947368,0.9047619047619048
BROCK,CARL,Undirected,1.5636463636363636,0.6395348837209303
BROCK,DYNAMIKE,Undirected,1.6666766666666668,0.6
BROCK,EL PRIMO,Undirected,1.467751935483871,0.6813186813186813
BROCK,GRIFF,Undirected,1.5833433333333335,0.631578947368421
BROCK,GROM,Undirected,1.5106482978723406,0.6619718309859155
BROCK,JACKY,Undirected,1.3902539024390244,0.7192982456140351
BROCK,MAX,Undirected,1.5714385714285715,0.6363636363636364
BROCK,MORTIS,Undirected,1.7473784210526315,0.572289156626506
BROCK,POCO,Undirected,1.62501,0.6153846153846154
BROCK,SHELLY,Undirected,1.3695752173913045,0.7301587301587301
BROCK,SPROUT,Undirected,1.05001,0.9523809523809523
BULL,BYRON,Undirected,1.2777877777777777,0.782608695652174
BULL,GENE,Undirected,1.3181918181818184,0.7586206896551724
BULL,LUMI,Undirected,1.3333433333333333,0.75
BULL,OTIS,Undirected,1.12501,0.8888888888888888
BULL,ROSA,Undirected,1.4583433333333333,0.6857142857142857
BULL,SAM,Undirected,1.1666766666666668,0.8571428571428571
BULL,SHELLY,Undirected,1.4411864705882353,0.6938775510204082
BUZZ,TICK,Undirected,1.5714385714285715,0.6363636363636364
BYRON,DYNAMIKE,Undirected,1.4473784210526317,0.6909090909090909
BYRON,GENE,Undirected,1.423086923076923,0.7027027027027027
BYRON,NANI,Undirected,1.3846253846153846,0.7222222222222222
BYRON,NITA,Undirected,1.3333433333333333,0.75
BYRON,PAM,Undirected,1.2142957142857145,0.8235294117647058
BYRON,ROSA,Undirected,1.1428671428571429,0.875
BYRON,STU,Undirected,1.235304117647059,0.8095238095238095
CARL,PAM,Undirected,1.1111211111111112,0.9
CARL,PIPER,Undirected,1.6222322222222223,0.6164383561643836
CARL,ROSA,Undirected,1.3846253846153846,0.7222222222222222
CARL,SPROUT,Undirected,1.3000099999999999,0.7692307692307693
CHESTER,DYNAMIKE,Undirected,1.4762004761904763,0.6774193548387096
CHESTER,LARRY & LAWRIE,Undirected,1.00001,1.0
CHUCK,SHELLY,Undirected,1.3000099999999999,0.7692307692307693
CLANCY,CLANCY,Undirected,1.2121312121212122,0.825
CLANCY,GENE,Undirected,1.00001,1.0
COLETTE,GENE,Undirected,1.3077023076923078,0.7647058823529411
COLETTE,GUS,Undirected,1.4166766666666666,0.7058823529411765
COLETTE,MORTIS,Undirected,1.5365953658536586,0.6507936507936508
COLETTE,NANI,Undirected,1.391314347826087,0.71875
COLT,DARRYL,Undirected,1.673086923076923,0.5977011494252874
COLT,DYNAMIKE,Undirected,1.7111211111111113,0.5844155844155844
COLT,EDGAR,Undirected,1.8008949557522123,0.5552825552825553
COLT,FRANK,Undirected,1.6988051807228917,0.5886524822695035
COLT,GROM,Undirected,1.5517341379310345,0.6444444444444445
COLT,GUS,Undirected,1.6222322222222223,0.6164383561643836
COLT,HANK,Undirected,1.24001,0.8064516129032258
COLT,LEON,Undirected,1.558149534883721,0.6417910447761194
COLT,LUMI,Undirected,1.45001,0.6896551724137931
COLT,MAISIE,Undirected,1.391314347826087,0.71875
COLT,MORTIS,Undirected,1.7482617482517484,0.572
COLT,POCO,Undirected,1.4871894871794873,0.6724137931034483
COLT,R-T,Undirected,1.3571528571428573,0.7368421052631579
COLT,STU,Undirected,1.5200099999999999,0.6578947368421053
CROW,SPROUT,Undirected,1.235304117647059,0.8095238095238095
CROW,STU,Undirected,1.50001,0.6666666666666666
DARRYL,STU,Undirected,1.5333433333333333,0.6521739130434783
DYNAMIKE,FINX,Undirected,1.3000099999999999,0.7692307692307693
DYNAMIKE,GENE,Undirected,1.4545554545454547,0.6875
DYNAMIKE,GUS,Undirected,1.6326630612244897,0.6125
DYNAMIKE,LEON,Undirected,1.5714385714285715,0.6363636363636364
DYNAMIKE,PIPER,Undirected,1.6956621739130435,0.5897435897435898
DYNAMIKE,SHELLY,Undirected,1.56251,0.64
DYNAMIKE,STU,Undirected,1.4893717021276598,0.6714285714285714
EDGAR,FANG,Undirected,1.8346983468834688,0.5450516986706057
EDGAR,MANDY,Undirected,1.7727372727272728,0.5641025641025641
EDGAR,MORTIS,Undirected,1.7421702787456448,0.574
EL PRIMO,EMZ,Undirected,1.4428671428571431,0.693069306930693
EL PRIMO,GENE,Undirected,1.25001,0.8
EL PRIMO,JACKY,Undirected,1.3777877777777778,0.7258064516129032
EL PRIMO,MAX,Undirected,1.4333433333333334,0.6976744186046512
EL PRIMO,MEG,Undirected,1.2857242857142857,0.7777777777777778
EL PRIMO,MOE,Undirected,1.00001,1.0
EL PRIMO,NITA,Undirected,1.6071528571428573,0.6222222222222222
EL PRIMO,POCO,Undirected,1.5454645454545455,0.6470588235294118
EL PRIMO,SHELLY,Undirected,1.390635,0.7191011235955056
EL PRIMO,SPROUT,Undirected,1.25001,0.8
EL PRIMO,STU,Undirected,1.5588335294117648,0.6415094339622641
EMZ,JACKY,Undirected,1.5675775675675676,0.6379310344827587
EMZ,JESSIE,Undirected,1.6805655555555556,0.5950413223140496
EMZ,POCO,Undirected,1.450990392156863,0.6891891891891891
EMZ,SHELLY,Undirected,1.5396925396825396,0.6494845360824743
EMZ,STU,Undirected,1.5365953658536586,0.6507936507936508
FANG,FINX,Undirected,1.3000099999999999,0.7692307692307693
FANG,NANI,Undirected,1.4347926086956522,0.696969696969697
FANG,RUFFS,Undirected,1.00001,1.0
FINX,PIPER,Undirected,1.3077023076923078,0.7647058823529411
FRANK,PAM,Undirected,1.368431052631579,0.7307692307692307
GALE,MEG,Undirected,1.181828181818182,0.8461538461538461
GALE,STU,Undirected,1.3157994736842107,0.76
GENE,GRIFF,Undirected,1.2727372727272728,0.7857142857142857
GENE,MAISIE,Undirected,1.25001,0.8
GENE,NANI,Undirected,1.3571528571428573,0.7368421052631579
GENE,PAM,Undirected,1.3529511764705884,0.7391304347826086
GENE,SAM,Undirected,1.00001,1.0
GENE,STU,Undirected,1.4444544444444445,0.6923076923076923
GENE,TARA,Undirected,1.1666766666666668,0.8571428571428571
GRAY,GUS,Undirected,1.4285814285714287,0.7
GRAY,TARA,Undirected,1.00001,1.0
GRIFF,PENNY,Undirected,1.6511727906976745,0.6056338028169014
GRIFF,PIPER,Undirected,1.5952480952380952,0.6268656716417911
GUS,POCO,Undirected,1.5555655555555554,0.6428571428571429
GUS,STU,Undirected,1.5416766666666666,0.6486486486486487
HANK,PAM,Undirected,1.230779230769231,0.8125
HANK,PIPER,Undirected,1.4210626315789474,0.7037037037037037
JACKY,JESSIE,Undirected,1.2941276470588237,0.7727272727272727
JACKY,MAX,Undirected,1.3846253846153846,0.7222222222222222
JACKY,NITA,Undirected,1.5238195238095238,0.65625
JACKY,POCO,Undirected,1.310354827586207,0.7631578947368421
JACKY,SHELLY,Undirected,1.3333433333333333,0.75
JESSIE,POCO,Undirected,1.4166766666666666,0.7058823529411765
JESSIE,SHELLY,Undirected,1.4347926086956522,0.696969696969697
JESSIE,SQUEAK,Undirected,1.631588947368421,0.6129032258064516
JUJU,SHELLY,Undirected,1.1428671428571429,0.875
KENJI,SHELLY,Undirected,1.3333433333333333,0.75
KIT,LOLA,Undirected,1.1000100000000002,0.9090909090909091
KIT,POCO,Undirected,1.12501,0.8888888888888888
LEON,MELODIE,Undirected,1.3000099999999999,0.7692307692307693
LILY,MOE,Undirected,1.00001,1.0
LOLA,MAX,Undirected,1.1111211111111112,0.9
LOLA,ROSA,Undirected,1.0909190909090911,0.9166666666666666
MANDY,SURGE,Undirected,1.5483970967741936,0.6458333333333334
MAX,MEG,Undirected,1.3333433333333333,0.75
MAX,STU,Undirected,1.50001,0.6666666666666666
MEEPLE,POCO,Undirected,1.4117747058823529,0.7083333333333334
MELODIE,ROSA,Undirected,1.00001,1.0
MELODIE,TICK,Undirected,1.2727372727272728,0.7857142857142857
MOE,SPIKE,Undirected,1.20001,0.8333333333333334
MORTIS,MORTIS,Undirected,1.40001,0.7142857142857143
MORTIS,PAM,Undirected,1.4285814285714287,0.7
MORTIS,POCO,Undirected,1.6515251515151514,0.6055045871559633
MORTIS,R-T,Undirected,1.50001,0.6666666666666666
MORTIS,RICO,Undirected,1.6666766666666668,0.6
MR. P,PAM,Undirected,1.1000100000000002,0.9090909090909091
NANI,PAM,Undirected,1.2142957142857145,0.8235294117647058
NANI,ROSA,Undirected,1.2142957142857145,0.8235294117647058
NITA,PAM,Undirected,1.3077023076923078,0.7647058823529411
NITA,POCO,Undirected,1.4210626315789474,0.7037037037037037
NITA,SHELLY,Undirected,1.672737272727273,0.5978260869565217
NITA,STU,Undirected,1.4117747058823529,0.7083333333333334
NITA,WILLOW,Undirected,1.00001,1.0
PAM,PENNY,Undirected,1.368431052631579,0.7307692307692307
PAM,POCO,Undirected,1.40001,0.7142857142857143
PAM,SHELLY,Undirected,1.1666766666666668,0.8571428571428571
PAM,SPROUT,Undirected,1.1428671428571429,0.875
PAM,STU,Undirected,1.1935583870967743,0.8378378378378378
PIPER,POCO,Undirected,1.5555655555555554,0.6428571428571429
POCO,POCO,Undirected,1.6842205263157894,0.59375
POCO,SHELLY,Undirected,1.1785814285714287,0.8484848484848485
POCO,STU,Undirected,1.4545554545454547,0.6875
POCO,SURGE,Undirected,1.3333433333333333,0.75
RICO,SHADE,Undirected,1.5806551612903226,0.6326530612244898
RICO,SQUEAK,Undirected,1.6785814285714287,0.5957446808510638
ROSA,STU,Undirected,1.12501,0.8888888888888888
SHADE,TICK,Undirected,1.5151615151515152,0.66
SHELLY,SURGE,Undirected,1.2857242857142857,0.7777777777777778
SHELLY,WILLOW,Undirected,1.0909190909090911,0.9166666666666666
SPIKE,STU,Undirected,1.50001,0.6666666666666666
SPROUT,SURGE,Undirected,1.1428671428571429,0.875
SQUEAK,STU,Undirected,1.303040303030303,0.7674418604651163
STU,TARA,Undirected,1.5666766666666667,0.6382978723404256
STU,TICK,Undirected,1.3714385714285715,0.7291666666666666
TICK,TICK,Undirected,1.1579047368421054,0.8636363636363636
